stn,wban,year,mo,da,temp,count_temp,dewp,count_dewp,slp,count_slp,stp,count_stp,visib,count_visib,wdsp,count_wdsp,mxpsd,gust,max,flag_max,min,flag_min,prcp,flag_prcp,sndp,fog,rain_drizzle,snow_ice_pellets,hail,thunder,tornado_funnel_cloud
725060,94728,2012,07,29,71.7,24,66.1,24,1015.1,15,1009.9,24,9.4,24,3.2,24,12.0,15.9,79.0,*,66.9,*,0.18,G,999.9,0,1,0,0,0,0
725060,94728,2012,05,04,59.5,24,56.1,24,1014.8,15,1011.2,24,4.9,24,1.6,24,12.0,999.9,73.0,*,48.9,*,0.1,G,999.9,0,1,0,0,0,0
725060,94728,2012,05,22,63.4,24,61.0,24,1011.7,16,1007.7,24,5.8,24,4.9,24,13.0,15.9,70.0,*,57.9,*,1.62,G,999.9,1,1,0,0,0,0
725060,94728,2012,10,24,57.1,24,53.5,24,1019.9,17,1015.1,24,6.4,24,4.1,24,9.9,999.9,59.0,*,51.8,*,0.07,G,999.9,0,1,0,0,0,0
725060,94728,2012,06,19,67.5,24,59.4,24,1020.4,18,1015.6,24,9.9,23,2.6,22,8.9,999.9,75.9,*,52.0,*,0.0,G,999.9,1,0,0,0,0,0
725060,94728,2012,03,20,62.9,24,54.2,24,1024.7,18,1020.0,24,9.1,24,2.5,23,7.0,999.9,73.0,,55.0,,0.0,G,999.9,1,0,0,0,0,0
725060,94728,2012,05,02,52.5,24,49.1,24,1020.0,18,1015.4,24,8.0,24,4.9,24,14.0,999.9,61.0,*,46.9,*,0.04,G,999.9,0,1,0,0,0,0
725060,94728,2012,04,27,50.4,24,37.6,24,1010.3,20,1003.7,24,7.8,24,6.7,24,21.0,26.0,55.9,,45.0,,0.07,G,999.9,0,1,0,0,0,0
725060,94728,2012,07,18,85.3,24,69.1,24,1008.9,20,1004.3,24,7.2,24,3.7,23,13.0,20.0,100.0,,73.0,,0.0,G,999.9,1,1,0,0,0,0
725060,94728,2012,09,18,70.6,24,64.8,24,1011.8,20,1006.4,24,7.6,24,5.5,21,19.0,27.0,75.2,*,57.2,*,0.11,G,999.9,1,1,0,0,0,0
725060,94728,2012,05,10,59.1,24,49.1,24,1001.9,20,996.9,24,7.3,24,5.0,22,22.0,24.1,64.9,*,53.6,*,0.33,G,999.9,0,1,0,0,0,0
725060,94728,2012,02,28,45.5,24,23.3,24,1025.8,21,1020.1,24,10.0,24,5.2,24,20.0,26.0,53.1,,39.9,,0.0,G,999.9,0,0,0,0,0,0
725060,94728,2012,06,23,74.6,24,62.7,24,1011.0,21,1006.1,24,6.6,24,2.9,23,11.1,999.9,82.0,*,68.0,*,0.35,G,999.9,0,1,0,0,0,0
725060,94728,2012,07,08,80.6,24,65.5,24,1010.1,21,1005.5,24,8.5,24,3.1,24,8.0,15.9,90.0,*,70.0,*,0.59,G,999.9,0,1,0,0,0,0
725060,94728,2012,03,13,62.5,24,48.8,24,1017.5,21,1012.1,24,9.6,24,4.2,21,12.0,15.0,73.0,*,45.0,*,0.04,G,999.9,1,1,0,0,0,0
